ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML,Name,Date,Hole
7431768,rough,34703314,F,F,T,,-0.119884998,386.67099,180.6909943,1,2,214.1340027,4.123700142,0,F,T,F,T,F,21.45210075,806110-11-1,5/18/2017 9:04,,5/19/2017 8:14,,U,ARCHIE ,"Apr. 21th, 2018",4
9594132,rough,44459852,F,F,T,T,-0.190549999,315.269989,194.3800049,2,2,132.8820038,12.20219994,0,F,,F,T,F,26.23539925,1056889-18-2,8/13/2017 5:25,,8/20/2017 10:57,,U,BENJAMIN ,"May. 24th, 2018",5
9555167,rough,44135257,F,F,T,T,-0.845561981,144.7220001,105.2440033,2,2,41.41790009,41.6570015,0,F,,F,T,F,54.53070068,1053235-8-2,8/11/2017 5:18,,8/20/2017 10:57,,U,LUCAS ,"Apr. 25th, 2018",6
8586133,rough,39878089,F,T,F,,-0.359219015,419.7460022,236.7630005,1,2,187.7779999,6.31554985,0,F,T,F,F,T,32.95800018,947919-13-1,7/4/2017 8:22,,7/5/2017 5:42,,U,LEO ,"Apr. 21th, 2018",7
9731421,rough,45057094,F,F,T,,-0.136059001,409.3770142,192.8959961,1,2,232.5200043,23.20940018,0,F,T,F,T,F,41.24309921,1076781-11-1,8/20/2017 10:57,,8/21/2017 5:37,,U,HENRY ,"Apr. 24th, 2018",8
6851587,rough,31936045,F,F,T,,-0.196952999,331.7799988,172.9609985,1,2,161.697998,20.34749985,0,F,T,F,T,F,36.7765007,736700-2-1,4/16/2017 3:38,,4/17/2017 3:42,,U,JAKE ,"Apr. 25th, 2018",9
8591873,rough,39936846,F,F,T,,-0.994835973,409.1560059,345.7359924,1,2,64.11699677,63.83679962,0,F,T,F,T,F,10.96140003,947919-14-1,7/4/2017 8:22,,7/5/2017 5:42,,U,LOGAN ,"Apr. 21th, 2018",1
9182179,fairway,42584218,T,F,F,,-1.773120046,320,95.55190277,1,5,231.4080048,7.607900143,2,F,,F,T,F,2.476030111,1014050-14-1,7/28/2017 6:17,,8/3/2017 8:46,,U,TYLER ,"Apr. 24th, 2018",2
8861864,rough,41075006,F,F,T,T,0.164271995,343.0969849,153.8950043,2,2,189.8869934,40.75669861,0,F,,F,T,F,58.39149857,978688-9-2,7/15/2017 5:35,,7/16/2017 5:35,,U,JAYDEN ,June. 5th 2018,3
7169576,rough,33533482,F,F,T,,-1.646029949,430.9719849,297.480011,1,2,135.4620056,44.73339844,1,F,T,F,T,F,42.74549866,774081-4-1,5/4/2017 6:26,,5/5/2017 10:10,,U,ISAAC ,"Apr. 21th, 2018",8
10630903,rough,48925600,F,F,T,,-1.243559957,437.6270142,226.7830048,1,2,212.0500031,37.88579941,1,F,,F,T,F,55.18500137,1174023-2-1,9/28/2017 6:07,,9/29/2017 6:21,,U,FINLEY ,"Apr. 2th, 2018",9
9548824,rough,44122515,F,F,T,,-0.035633001,412.881012,184.6759949,1,2,235.503006,29.8071003,0,F,T,F,T,F,42.32339859,1052492-4-1,8/11/2017 5:18,,8/20/2017 10:57,,U,MASON ,"Apr. 25th, 2018",10
9739128,rough,45036288,F,F,T,T,-0.018440099,286.1950073,138.4320068,2,2,148.0650024,3.647840023,0,F,,F,T,F,16.7859993,1073926-17-2,8/20/2017 10:57,,8/21/2017 5:37,,U,RYAN ,"Apr. 11th, 2018",11
